,titles,subtitles,links
34,VAR-CICAL,Why Maguire wasn't given 'stonewall' penalty in England's 6-2 win - but Iran were,https://www.thesun.co.uk/sport/20500685/harry-maguire-penalty-england-john-stones-iran-var/
35,MAG-NIFICENT,Maguire gets last laugh after cruel Iran fans taunt him with mean banners,https://www.thesun.co.uk/sport/20497460/england-harry-maguire-iran-taunts/
36,SOLIDARITY,Alex Scott wears One Love armband for BBC coverage of England vs Iran,https://www.thesun.co.uk/sport/20494612/alex-scott-one-love-bbc-england-iran/
37,'SPINELESS',Piers leads fury as England back down on One Love armband after Fifa ultimatum,https://www.thesun.co.uk/sport/20493258/england-fans-furious-one-love-armband-world-cup/
38,CHEIK OUT,Kouyate stretchered off after being pushed in PRIVATES by De Jong at World Cup,https://www.thesun.co.uk/sport/20501222/kouyate-de-jong-injury-senegal-netherlands/
39,LIONS SILENCED,World Cup TV feed mysteriously 'cut' in Qatar fan zone as England take knee,https://www.thesun.co.uk/sport/20497115/england-knee-world-cup-tv-cut/
40,BOARD KING,Ronaldo says he wants to 'checkmate' Messi at World Cup following chess advert,https://www.thesun.co.uk/sport/20501795/ronaldo-checkmate-messi-world-cup/
41,'HAD ME IN TEARS',Fans all say the same as Wales stars and supporters sing national anthem,https://www.thesun.co.uk/sport/20502001/wales-national-anthem-world-cup-usa/
42,DUTCH COURAGE,Man Utd fans all say the same thing as De Jong and Gakpo combine at World Cup,https://www.thesun.co.uk/sport/20501820/man-utd-cody-gakpo-frenkie-de-jong-holland-senegal/
43,FINAL BOW,Will Messi's World Cup swansong for Argentina land him his first winners' medal?,https://www.thesun.co.uk/sport/20360296/argentina-tactics-world-cup-predicted-line-up-stats/
44,MEX IT UP,Jimenez and Lozano can finally break Mexico's last-16 World Cup curse in Qatar,https://www.thesun.co.uk/sport/20365963/mexico-tactics-world-cup-predicted-line-up-stats/
45,POLE POSITION,Poland will need more than just Lewandowski if they are to make their mark,https://www.thesun.co.uk/sport/20331690/poland-tactics-world-cup-predicted-line-up-stats/
46,ARABIAN DELIGHTS,Saudi Arabia out to surprise the world by making it to last 16 in Qatar,https://www.thesun.co.uk/sport/20437223/saudi-arabia-tactics-world-cup-predicted-line-up-stats/
47,ALLEZ LES BLEUS,Can Mbappe lift the defending champions hit by string on injury to stars?,https://www.thesun.co.uk/sport/20328704/france-tactics-world-cup-predicted-line-up-stats/
48,MAKING THEIR MARK,Entertaining Denmark have character & flair with Eriksen their star man,https://www.thesun.co.uk/sport/20436686/denmark-tactics-world-cup-predicted-line-up-stats/
49,AU INSPIRED,"Australia face battle to reach last 16, even with Mat Ryan between the sticks",https://www.thesun.co.uk/sport/20435386/australia-tactics-world-cup-predicted-line-up-stats/
50,TUNS TO PLAY FOR,"Tunisia need to improve defence in Qatar, otherwise they face early exit",https://www.thesun.co.uk/sport/20446337/tunisia-tactics-world-cup-predicted-line-up-stats/
51,YOUNG ONES,Will Havertz fire the Germans to a World Cup win? Youth could count against them,https://www.thesun.co.uk/sport/20328382/germany-tactics-world-cup-predicted-line-up-stats/
52,PLEASURE & SPAIN,Spain boss Luis Enrique has major problem to fix ahead of World Cup,https://www.thesun.co.uk/sport/20311297/spain-tactics-world-cup-predicted-line-up-stats/
53,AT WHAT COST,"Costa Rica aim to surprise like in 2014, when they reached the quarter final",https://www.thesun.co.uk/sport/20444614/costa-rica-tactics-world-cup-predicted-line-up-stats/
54,RISING SONS,World Cup will be tough for Japan having to contend with Spain and Germany,https://www.thesun.co.uk/sport/20443032/japan-tactics-world-cup-predicted-line-up-stats/
55,DE BEST?,Can Belgium's golden generation win World Cup with De Bruyne pulling the strings?,https://www.thesun.co.uk/sport/20364123/belgium-tactics-world-cup-predicted-line-up-stats/
56,ALL MOD CONS,"Croatia aim to go one better at the World Cup, with Luka Modric still captain",https://www.thesun.co.uk/sport/20397370/croatia-tactis-world-cup-predicted-line-up-stats/
57,MOR OR LESS,Morocco could be a difficult opponent to overcome with stars Hakimi and Ziyech,https://www.thesun.co.uk/sport/20395953/morocco-tactics-world-cup-predicted-line-up-stats/
58,CAN-CAN,Why Canada could be surprise package in Qatar with lightning pace of Davies & David,https://www.thesun.co.uk/sport/20398389/canada-tactics-world-cup-predicted-line-up-stats/
59,ALL THAT BRAZ,Can Neymar can lead Brazil to World Cup glory? Only if he does what Tite says,https://www.thesun.co.uk/sport/20319159/brazil-tactics-world-cup-predicted-line-up-stats/
60,SERB A PURPOSE,Serbia's Vlahovic and Mitrovic will be a handful in the box at World Cup,https://www.thesun.co.uk/sport/20376436/serbia-tactics-world-cup-predicted-line-up-stats/
61,SWISS TIME,"Xhaka leads Switzerland, who will hope to reach the knockout stages in Qatar",https://www.thesun.co.uk/sport/20376239/switzerland-tactics-world-cup-predicted-line-up-stats/
62,ROO THE DAY,"Cameroon will find it hard in tough group with Brazil & Serbia, even with Onana",https://www.thesun.co.uk/sport/20376361/cameroon-tactics-world-cup-predicted-line-up-stats/
63,QATAR HERO,"Everything you need to know about Dream Team World Cup - £50,000 to be won!",https://www.thesun.co.uk/sport/football/dream-team/20302461/world-cup-fantasy-football-game-free-qatar-2022/
64,HEAD START,Which DT World Cup players will bank HUGE points during the first week in Qatar?,https://www.thesun.co.uk/sport/football/dream-team/20471670/which-players-first-fixtures-world-cup-fantasy-football/
65,GETTING MESSI,"DT World Cup: Argentina's star players, potential flops and bargain options",https://www.thesun.co.uk/sport/football/dream-team/20444300/argentina-world-cup-fantasy-football-messi-martinez-molina/
66,PORT OF CALL,"Led by Ronaldo, Portugal are mentally strong and could be World Cup dark horse",https://www.thesun.co.uk/sport/20385720/portugal-tactics-world-cup-predicted-line-up-stats/
67,PARTEY TIME,Ghana have bright stars Partey and Williams leading their charge in Qatar,https://www.thesun.co.uk/sport/20386436/ghana-tactics-world-cup-predicted-line-up-stats/
68,UR A THREAT,Uruguay will rely on old guard of Suarez and Cavani plus wonderkid Valverde,https://www.thesun.co.uk/sport/20366663/uruguay-tactics-world-cup-predicted-line-up-stats/
69,SONNY DELIGHT,South Korea will be praying Son is match-fit for their World Cup campaign,https://www.thesun.co.uk/sport/20386941/south-korea-tactics-world-cup-predicted-line-up-stats/
70,ACE IN DOCK,Mason Greenwood to stand trial next year charged with attempted rape,https://www.thesun.co.uk/sport/20491542/mason-greenwood-court-attempted-rape-coercive-control/
71,BACK OF THE NET,Man Utd ace Garnacho set for TENFOLD salary rise with £50k-a-week new deal,https://www.thesun.co.uk/sport/20483094/man-utd-alejandro-garnacho-transfer-new-contract/
72,MISSED A 'DRICK,Chelsea transfer hit as European giants open talks for wonderkid Endrick,https://www.thesun.co.uk/sport/20496720/chelsea-endrick-transfer-blow-psg-open-negotiations/
73,I-RON MAN,Ronaldo tells Man Utd he won't be gagged & says 'I'm bulletproof and iron-clad',https://www.thesun.co.uk/sport/20491339/cristiano-ronaldo-man-utd-interviews/
74,'SCRANTASTIC',Fans all saying the same thing as Forest start selling 'pizza-dog' combo,https://www.thesun.co.uk/sport/20493691/nottingham-forest-pizza-dog-combination/
75,ANFIELDING OFFERS,Liverpool owners confirm there has been ‘lot of interest’ in buying club,https://www.thesun.co.uk/sport/20494248/liverpool-takeover-interest-fsg-confirmed/
76,GET RICH QUICK,Richarlison plans to 'buy an island and stay there with a bunch of women',https://www.thesun.co.uk/sport/20488310/brazil-richarlison-buy-island-women-retiring/
77,BELLI ACHE,Frank Lampard reveals he tried to sign Bellingham AND Rice while Chelsea boss,https://www.thesun.co.uk/sport/20491600/frank-lampard-jude-bellingham-declan-rice/
78,BIG OFFER,Betfair offer: Stake £10 on the World Cup to get £30 in free bets -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus-world-cup/
79,MEGA OFFER,World Cup 2022: Get up to £100 in free bets and bonuses with Spreadex,https://www.thesun.co.uk/sport/betting-tips/20289291/spreadex-world-cup-free-bets-bonus-100-offer/
80,HUGE DEAL,World Cup 2022 sign up offer: Get £40 in FREE BETS when you stake £10 at Sky Bet,https://www.thesun.co.uk/sport/20430830/world-cup-sign-up-offer-free-bets-sky-bet/
81,MOUR PAIN,Fresh blow for Ronaldo as Mourinho's Roma say they've NEVER wanted him,https://www.thesun.co.uk/sport/20496936/man-united-ronaldo-roma-transfer/
82,JERRY CHASE,Rangers lead hunt for Yates but struggling Blackpool demand £5m for top scorer,https://www.thesun.co.uk/sport/20489789/jerry-yates-blackpool-rangers-transfer-hunt/
83,DYLAN IN DEMAND,Millwall eyes Levitt as Wales ace shines after exiting Man U for Dundee Utd,https://www.thesun.co.uk/sport/20490589/dylan-levitt-milwall-transfer-target-dundee-man-utd/
84,SWEET TOOTH,Bournemouth boss O'Neil wants ex Gerrard assistant Critchley in permanent role,https://www.thesun.co.uk/sport/20490081/bournemouth-oneil-gerrard-assistant-critchley-premier-league/
85,READY FOR THU,Newcastle keen on free transfer for Thuram as Howe considers January talks,https://www.thesun.co.uk/sport/20483658/newcastle-transfer-france-marcus-thuram-eddie-howe-january/
86,GUNNERS LIVE,Saka takes England plaudits as Wenger praises Southgate,https://www.thesun.co.uk/sport/20437899/arsenal-news-live-bukayo-saka-england-arsene-wenger-southgate-bellingham/
87,UNITED LIVE,"Maguire ill after England win, Tielemans unphased by Red Devils transfer talk",https://www.thesun.co.uk/sport/20358231/man-utd-live-harry-maguire-england-youri-tielemans-transfer/
88,WIZARD OF OZ,Ronaldo offered shock transfer exit to rejoin former team-mate in Australia,https://www.thesun.co.uk/sport/20456924/cristiano-ronaldo-man-utd-transfer-australia/
89,TONY ADAMS,"I'd make Rice captain, Kane's a top player but armband makes it hard to sub him",https://www.thesun.co.uk/sport/20489264/tony-adams-world-cup-kane-rice-england-captain/
90,DAVE KIDD,"Southgate's critics forget the past, fans should be careful what they wish for",https://www.thesun.co.uk/sport/20489611/gareth-southgate-critics-fans-world-cup-england-iran/
91,TROY DEENEY,England squad capable of winning World Cup... but lack of Plan B is a concern,https://www.thesun.co.uk/sport/20390123/england-world-cup-squad-troy-deeney-gareth-southgate/
92,POLE DANCER,Meet the twerking champion hoping to inspire Poland ace boyfriend at World Cup,https://www.thesun.co.uk/sport/20494653/world-cup-poland-kiwior-twerking-girlfriend/
93,DILS ON WHEELS,Bikini-clad Diletta stuns on bike as she takes World Cup break with Karius,https://www.thesun.co.uk/sport/20452168/diletta-leotta-cycling-karius-world-cup-newcastle/
94,MAN MARCED,I’m England’s sexiest fan & I’ve got my eye on ONE England player in particular,https://www.thesun.co.uk/sport/20494509/englands-sexiest-fan-eye-on-england-player-toyboy/
